日期,作者,標題,網址
10/16,supercilious,[討論] 语言决定双方思维不同！,https://www.ptt.cc/bbs/Education/M.1697447035.A.30B.html
10/16,supercilious,Fw: [閒聊] 高中數學實驗本,https://www.ptt.cc/bbs/Education/M.1697444596.A.25C.html
10/02,ostracize,雙語學校教什麼？,https://www.ptt.cc/bbs/Education/M.1696239652.A.C57.html
 9/27,ostracize,學科知識內容的英文,https://www.ptt.cc/bbs/Education/M.1695826195.A.302.html
 9/27,jootootoo,[國小] 台北市雙永國小徵資源班長期代理教師,https://www.ptt.cc/bbs/Education/M.1695804709.A.13B.html
 7/12,ostracize,現在的政府有學乖嗎？,https://www.ptt.cc/bbs/Education/M.1689126713.A.AC0.html
 7/10,supercilious,每五個研究生，就有一個休學？,https://www.ptt.cc/bbs/Education/M.1688963576.A.1A9.html
 7/06,jonathan319,Re: [新聞] 小留學生親述：我所親身經歷的英國中學,https://www.ptt.cc/bbs/Education/M.1688642162.A.93C.html
 7/06,ostracize,禁止中小學學生在教室使用手機平板和智慧型手錶,https://www.ptt.cc/bbs/Education/M.1688584897.A.DC9.html
 6/15,annechu,[服務] 惠明盲校徵求暑假營隊學生志工,https://www.ptt.cc/bbs/Education/M.1686797081.A.114.html
 6/02,annechu,[獎學金] 112年國立歷史博物館藝術獎助學金,https://www.ptt.cc/bbs/Education/M.1685667225.A.AE9.html
 6/01,annechu,[獎學金] 萬海獎助學金,https://www.ptt.cc/bbs/Education/M.1685601922.A.AB5.html
 6/01,annechu,[獎學金] 宜蘭縣政府112年優秀學生獎學金,https://www.ptt.cc/bbs/Education/M.1685601497.A.FAE.html
 6/01,annechu,[獎學金] 菁英獎學金,https://www.ptt.cc/bbs/Education/M.1685600931.A.565.html
 6/01,annechu,[獎學金] 2023非清寒獎學金申請,https://www.ptt.cc/bbs/Education/M.1685600404.A.9FD.html
 6/01,annechu,[研習] 2023年暑假課程設計技術研習營,https://www.ptt.cc/bbs/Education/M.1685590789.A.64F.html
 5/22,youtien,[心得] 葉公好龍的反政確,https://www.ptt.cc/bbs/Education/M.1684736757.A.292.html
 4/23,ostracize,[心得] 楊柏因,https://www.ptt.cc/bbs/Education/M.1682226135.A.C26.html
 4/23,ostracize,以本土語言標注臺灣地名計畫成果,https://www.ptt.cc/bbs/Education/M.1682181131.A.339.html
 4/22,ostracize,[問題] distance 路徑長,https://www.ptt.cc/bbs/Education/M.1682130800.A.C08.html
 4/07,stoppingrain,[國小] 中華國際人才培育與發展協會徵求營隊師資,https://www.ptt.cc/bbs/Education/M.1680844381.A.5E4.html
 1/14,hedgehogs,[新聞] 英國「數學必修教育延長」風波,https://www.ptt.cc/bbs/Education/M.1673711970.A.C35.html
12/22,missyou88077,[問題] 可以接受申請開課的學校,https://www.ptt.cc/bbs/Education/M.1671684581.A.A68.html
11/06,weiza,[討論] 台灣是否對於語言教育較不重視?,https://www.ptt.cc/bbs/Education/M.1667733834.A.9CA.html
 6/16,aasus,[問題]  關於共同學區,https://www.ptt.cc/bbs/Education/M.1655352940.A.031.html
 6/16,naomi740116,[問題] 為什麼畢業典禮不是在學期最後一天?,https://www.ptt.cc/bbs/Education/M.1655338609.A.1A3.html
 4/22,jonathan8907,[分享]從亞斯伯格看台灣的社交常規 ,https://www.ptt.cc/bbs/Education/M.1650608050.A.CDA.html
 2/23,spursgogogo,[問題] 日本上課時間,https://www.ptt.cc/bbs/Education/M.1645592165.A.F17.html
12/19,john01912,[問題] 有關於小孩子數位學習,https://www.ptt.cc/bbs/Education/M.1639899648.A.EC6.html
 9/10,caryyrac,[討論] 2020年4都國小國中高中學生數比例比較,https://www.ptt.cc/bbs/Education/M.1631275522.A.7B3.html
 8/09,GWayneChen,[心得] 波波？ So What?,https://www.ptt.cc/bbs/Education/M.1628486106.A.72A.html
 6/10,ostracize,[分享] 學習歷程檔案對功課好的孩子更加有害,https://www.ptt.cc/bbs/Education/M.1623285084.A.DEC.html
 5/02,nastika,[討論] 當代還能怎樣批判教育學呢?,https://www.ptt.cc/bbs/Education/M.1619931389.A.3D7.html
 3/26,Neal121,[心得] 學國文的podcast,https://www.ptt.cc/bbs/Education/M.1616770149.A.5D0.html
